Date,Station,Near_Far,Species,Total_Catch,Measurement_Count
2024-11-20,UM-16,far,black sea bass,113,15
2024-11-20,UM-16,near,black sea bass,71,15
2023-06-07,K08,far,black sea bass,66,16
2024-11-20,UK-13,far,black sea bass,63,15
2022-08-03,C2208-2,far,black sea bass,77,30
2023-06-07,P12,far,black sea bass,58,15
2023-11-16,M12,far,black sea bass,57,15
2023-06-07,C2306-2,far,black sea bass,56,15
2023-11-16,L10,far,black sea bass,53,15
2024-09-11,UG-10,far,black sea bass,51,15
2023-06-07,O12,far,black sea bass,50,15
2023-06-07,K08,near,black sea bass,47,15
2024-09-11,UL-12,far,black sea bass,30,0
2024-09-11,UG-10,near,black sea bass,44,15
2022-08-03,C2208-2,near,black sea bass,55,30
2023-11-16,C2311-1,far,black sea bass,37,15
2023-06-28,N11,near,black sea bass,39,17
2024-09-11,UL-11,far,black sea bass,37,15
2023-10-05,O12,far,black sea bass,37,16
2023-06-07,C2306-2,near,black sea bass,35,15
2023-06-07,P12,near,black sea bass,34,15
2024-11-20,C2411-1,far,black sea bass,28,10
2023-11-16,C2311-2,far,black sea bass,32,15
2023-06-07,O12,near,rock crab,15,0
2023-10-05,C2310-1,near,scup,15,1
2024-08-02,UM-16,far,rock crab,14,0
2023-10-05,O12,near,black sea bass,29,15
2023-10-25,K07,far,black sea bass,31,18
2023-04-13,C2304-1,far,rock crab,13,0
2022-08-31,C2209-1,far,rock crab,13,0
2024-11-20,C2411-1,near,black sea bass,33,20
2024-05-01,C2404-1,near,rock crab,12,0
2022-08-31,K07,near,rock crab,12,0
2022-08-31,J11,near,rock crab,12,0
2024-11-20,UK-13,near,black sea bass,27,15
2024-05-01,C2404-1,far,rock crab,11,0
2023-10-05,C2310-2,far,black sea bass,25,15
2023-06-07,O12,near,black sea bass,25,15
2023-11-16,C2311-1,far,porgy,10,0
2024-11-20,C2411-2,near,black sea bass,24,14
2023-06-07,J11,far,black sea bass,25,15
2024-11-20,C2411-2,far,black sea bass,25,16
2024-08-02,C2407-2,far,rock crab,9,0
2024-08-02,C2407-2,near,rock crab,9,0
2023-06-07,J11,near,black sea bass,24,15
2023-11-16,M12,near,black sea bass,24,15
2024-05-01,UH-11,far,jonah crab,9,0
2023-11-16,C2311-2,near,black sea bass,24,15
2024-09-11,C2409-1,near,rock crab,9,0
2023-10-05,C2310-2,far,sand dollar,9,0
2024-09-11,UL-12,near,rock crab,9,0
2022-08-31,K10,far,rock crab,8,0
2022-08-03,J06,far,jonah crab,8,0
2024-05-01,UM-15,far,rock crab,8,0
2022-08-03,J06,near,jonah crab,8,0
2023-07-26,N12,near,black sea bass,28,20
2023-06-07,C2306-1,far,black sea bass,34,26
2024-09-11,UL-11,near,black sea bass,23,15
2023-11-16,L10,near,black sea bass,22,15
